treatmentId	1980_CH1	1982_MSW1	1991_CH3	1993_MSW2	1994_Koopman	2005_MSW3	2019_HMW	2022_BatNames	2022_MDD	2022_IUCN	2023_BatNames	2023_MDD	2025_MDD_2_0	2025_batnames_1_7	2025_MDD_2_2
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L15.tsv	Pipistrellus crassulus	Pipistrellus crassulus	Pipistrellus crassulus	N/A	Pipistrellus crassulus	Hypsugo crassulus	Hypsugo crassulus	Nycticeinops crassulus	Nycticeinops crassulus	Pipistrellus crassulus	Nycticeinops crassulus	Nycticeinops crassulus	Nycticeinops crassulus	Afropipistrellus crassulus	Afropipistrellus crassulus
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L16.tsv	Pipistrellus eisentrauti	Pipistrellus eisentrauti	Pipistrellus eisentrauti	N/A	Pipistrellus eisentrauti	Hypsugo eisentrauti	Hypsugo eisentrauti	Nycticeinops eisentrauti	Nycticeinops eisentrauti	Hypsugo eisentrauti	Nycticeinops eisentrauti	Nycticeinops eisentrauti	Nycticeinops eisentrauti	Nycticeinops eisentrauti	Afropipistrellus eisentrauti
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L17.tsv	N/A	N/A	N/A	Eptesicus capensis [synonym of]	Eptesicus capensis grandidieri	Neoromicia capensis grandidieri	Neoromicia grandidieri	Nycticeinops grandidieri	Nycticeinops grandidieri	Pipistrellus grandidieri	Nycticeinops grandidieri	Nycticeinops grandidieri	Nycticeinops grandidieri	 	Afropipistrellus grandidieri
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L18.tsv	N/A	Eptesicus flavescens	N/A	N/A	N/A	Neoromicia flavescens	N/A	Nycticeinops grandidieri [synonym of]	Nycticeinops grandidieri [synonym of]	Neoromicia flavescens	Nycticeinops grandidieri grandidieri [synonym of]	Nycticeinops grandidieri [synonym of]	Afropipistrellus grandidieri [synonym of]	Afropipistrellus grandidieri	Afropipistrellus grandidieri [synonym of]
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L19.tsv	N/A	N/A	N/A	N/A	N/A	Neoromicia flavescens	N/A	Nycticeinops grandidieri [nomen dubium of]	Nycticeinops grandidieri [synonym of]	Neoromicia flavescens	Nycticeinops grandidieri grandidieri [synonym of]	Nycticeinops grandidieri [synonym of]	Nycticeinops grandidieri [synonym of]	 	Afropipistrellus grandidieri [synonym of]
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L20.tsv	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Nycticeinops happoldorum	Nycticeinops happoldorum	N/A	Nycticeinops happoldorum	Nycticeinops happoldorum	Nycticeinops happoldorum	Afropipistrellus happoldorum	Afropipistrellus happoldorum
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L21.tsv	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Nycticeinops macrocephalus	Nycticeinops macrocephalus	N/A	Nycticeinops macrocephalus	Nycticeinops macrocephalus	Nycticeinops macrocephalus	Nycticeinops macrocephalus	Afropipistrellus macrocephalus
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L22.tsv	N/A	Pipistrellus javanicus [synonym of]	Pipistrellus abramus	Pipistrellus javanicus [synonym of]	Pipistrellus javanicus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Pipistrellus abramus	Alionoctula abramus
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L23.tsv	N/A	N/A	Pipistrellus adamsi	Pipistrellus tenuis [synonym of]	Pipistrellus tenuis adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Pipistrellus adamsi	Alionoctula adamsi
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L24.tsv	Pipistrellus angulatus	Pipistrellus tenuis [synonym of]	Pipistrellus angulatus	Pipistrellus tenuis [synonym of]	Pipistrellus tenuis angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Pipistrellus angulatus	Alionoctula angulata
